id,rectype,recmass,recfalltype,reclat,reclong
12276,Valid,6669.2,Fell,20.4625,86.70278
12282,Valid,5000,Fell,48.4,-3.3
12284,Valid,80000,Fell,48.11667,-3.08333
12286,Valid,135000,Fell,38.98333,141.61667
12288,Valid,13600,Fell,29.53333,72.3
12289,Valid,3698,Fell,25.55,83.11667
12291,Valid,1500,Fell,50.625,35.075
12294,Valid,450,Fell,26.95,77.88333
12296,Valid,100,Fell,28.01667,75.81667
12297,Valid,6109,Fell,56.75,75.33333
12298,Valid,9700,Fell,25.1,81.53333
12299,Valid,3200,Fell,16,36
12300,Valid,100000,Fell,14,28
12301,Valid,737.6,Fell,54.4,10.15
12303,Valid,1500,Fell,16.58333,-11.33333
12305,Valid,331,Fell,36.85,138.38333
12306,Valid,195,Fell,55,34
12307,Valid,19000,Fell,12.76667,9.8
12308,Valid,772,Fell,43.58333,-89.6
12309,Valid,140,Fell,54.66667,-7.66667
12316,Valid,67.4,Fell,11.63333,24.68333
12321,Valid,97.7,Fell,30.75,-95.95
12325,Valid,1550,Fell,48.16667,22.30833
12326,Valid,202.6,Fell,43.38333,-80.38333
12332,Valid,3250,Fell,51.6,10.8
12335,Valid,500000,Fell,48.9,22.4
12336,Valid,136,Fell,34.73333,135.16667
12342,Valid,11510,Fell,34.3,133.95
12343,Valid,238,Fell,35.73333,139.75
12344,Valid,90,Fell,42.51667,26.16667
53810,Valid,4300,Fell,48.76367,21.17633
12353,Valid,16500,Fell,49.32694,7.46472
12355,Valid,2440,Fell,54.03333,40.9
12357,Valid,4000,Fell,54.33333,56.08333
12363,Valid,845.2,Fell,56.8,77
12364,Valid,50000,Fell,47.83333,30.76667
12368,Valid,2250,Fell,51.15,31.7
12369,Valid,453.6,Fell,30.73111,66.80222
12370,Valid,6000,Fell,50.75,33.5
12373,Valid,3719,Fell,41.11667,45
12377,Valid,200000,Fell,55.78333,61.36667
12379,Valid,1100000,Fell,42.25,59.2
12381,Valid,4460,Fell,37.05,138.38333
12382,Valid,5,Fell,29.68333,78.38333
12383,Valid,23,Fell,44.51667,39.3
12384,Valid,45000,Fell,10.83333,76.03333
12385,Valid,4047,Fell,55.2,75.33333
12390,Valid,45000,Fell,32.03333,130.63333
12392,Valid,2800,Fell,47.08333,1.75
12394,Valid,399,Fell,20.66667,-101.28333
12395,Valid,2000,Fell,-37.33333,-61.53333
12396,Valid,45000,Fell,-31.23333,-58.16667
12408,Valid,3833,Fell,44.28333,5.58333
12433,Valid,900,Fell,26.78333,82.71667
12434,Valid,37000,Fell,48.76667,0.63333
12435,Valid,212.5,Fell,21.86667,76.03333
12451,Valid,372,Fell,24.45,78.56667
12455,Valid,51700,Fell,47.7,1.06667
12456,Valid,7000,Fell,43.75,5.11667
12461,Valid,2300,Fell,58.85,16.73333
12464,Valid,1282,Fell,46.24167,126.19611
12465,Valid,7000,Fell,47.75,16.23333
12466,Valid,14250,Fell,33.13333,115.16667
12740,Valid,1060,Fell,51.9,-1.11667
12743,Valid,800,Fell,52.45,51.56667
12748,Valid,3000,Fell,47.16667,0.43333
12749,Valid,780,Fell,48.53333,-0.86667
12755,Valid,51500,Fell,35.88333,-99.33333
12756,Valid,460,Fell,-25.66667,28.36667
12759,Valid,271.4,Fell,52.66667,-6.96667
12760,Valid,877,Fell,34.58333,-87.5
12765,Valid,700,Fell,52.26667,32.85
12769,Valid,125,Fell,48.35,3.25
12772,Valid,2000,Fell,50.36667,4.73333
14646,Valid,4000,Fell,-26.15,26.18333
14650,Valid,6862,Fell,56.65,15.86667
14652,Valid,50000,Fell,52.56667,-8.78333
14655,Valid,1862,Fell,52.75,12.9
14659,Valid,498,Fell,31.63333,118.98333
14661,Valid,12800,Fell,50.2,14.85
14664,Valid,491,Fell,37.91667,-92.08333
14670,Valid,5213,Fell,56,26.43333
14675,Valid,1000,Fell,29.53333,71.8
14678,Valid,40000,Fell,26.96556,72.62667
52843,Valid,329.7,Fell,38.70066,-77.21163
14708,Valid,25,Fell,38,-0.83333
14711,Valid,17000,Fell,36.00833,-95.15
14716,Valid,1300,Fell,38.25,-85.75
14718,Valid,59000,Fell,52,19.91667
14721,Valid,9241,Fell,24.95,75.15
14724,Valid,3500,Fell,47.85,0.48333
14753,Valid,340,Fell,32.03333,-84.76667
14754,Valid,2520,Fell,24.8,103.3
14755,Valid,11000,Fell,56.21667,13.03333
14756,Valid,885,Fell,61.2,27.7
14757,Valid,14000,Fell,46.21667,5
14759,Valid,,Fell,-7.21667,29.43333
14764,Valid,540,Fell,19,97
15370,Valid,1500,Fell,-5.2,-36.66667
15371,Valid,93200,Fell,-15.21222,35.24222
15372,Valid,1995,Fell,-28.83333,31.95
15379,Valid,1000,Fell,25.91667,86.36667
15380,Valid,400,Fell,-7.75,111.53333
15382,Valid,400,Fell,40.41667,-3.71667
15383,Valid,600,Fell,-26.16667,-49.93333
15386,Valid,5000,Fell,37.86667,27.51667
15387,Valid,666.6,Fell,-19.48333,31.65
47361,Valid,70500,Fell,27.66667,95.78333
30751,Valid,4629,Fell,12.83333,9.38333
15393,Valid,150,Fell,32.21667,-104
15394,Valid,2000,Fell,9.5,31.75
15395,Valid,470,Fell,-3.13333,33.51667
15397,Valid,,Fell,-28.93333,-63.23333
15400,Valid,807,Fell,-29.45,26.76667
15401,Valid,1000,Fell,45.21667,62.08333
15402,Valid,1700,Fell,23.05,86.7
15403,Valid,50,Fell,20.96667,76.1
15405,Valid,22300,Fell,-17.65,31.6
15409,Valid,3555,Fell,45.81667,44.63333
15414,Valid,4500,Fell,34.23333,72.08333
15418,Valid,114,Fell,,
15419,Valid,340,Fell,42.71667,-99.38333
48973,Valid,25.81,Fell,54.76183,11.46745
15421,Valid,3200,Fell,4.66667,29.25
15422,Valid,2500,Fell,-22.25,-49.93333
15424,Valid,28400,Fell,41.9,-91.6
15426,Valid,45000,Fell,61.5,30.5
15429,Valid,3000,Fell,44.5,0.15
15430,Valid,6000,Fell,-14.2,48.1
15436,Valid,1443,Fell,35.8,-84.1
15438,Valid,1000,Fell,45.36667,1.86667
53653,Valid,24.54,Fell,0,0
15443,Valid,1600,Fell,48.13333,12.61667
15446,Valid,19000,Fell,48.18333,13.13333
15447,Valid,220,Fell,-20,57
